transaction_id,price,quantity,category,status
0,86.63,1,C,confirmed
1,55.66,3,B,confirmed
2,53.28,2,C,confirmed
3,40.63,2,A,confirmed
4,25.94,2,A,confirmed
5,94.53,4,C,confirmed
6,38.45,1,B,confirmed
7,82.06,9,B,confirmed
8,74.38,5,C,confirmed
9,81.18,5,A,confirmed
10,94.31,9,C,confirmed
11,66.1,5,C,confirmed
12,90.82,8,B,confirmed
13,25.09,1,A,confirmed
14,66.4,1,B,confirmed
15,79.5,4,B,confirmed
16,34.45,8,A,confirmed
17,76.67,3,A,confirmed
18,80.06,1,A,confirmed
19,84.81,9,C,confirmed
20,38.16,9,A,confirmed
21,71.34,9,C,confirmed
22,37.38,9,B,confirmed
23,76.51,2,A,confirmed
24,51.67,4,C,confirmed
25,63.78,2,C,confirmed
26,47.43,7,C,confirmed
27,24.58,3,C,confirmed
28,26.02,9,B,confirmed
29,16.98,7,A,confirmed
30,65.63,8,A,confirmed
31,86.38,9,A,confirmed
32,11.88,8,A,confirmed
33,15.96,7,A,confirmed
34,51.17,9,A,confirmed
35,76.39,1,C,confirmed
36,24.19,4,A,confirmed
37,34.45,4,C,confirmed
38,30.88,5,B,confirmed
39,45.91,8,C,confirmed
40,30.25,1,B,confirmed
41,41.73,6,A,confirmed
42,75.57,9,B,confirmed
43,64.99,8,B,confirmed
44,17.31,2,C,confirmed
45,67.4,7,C,confirmed
46,52.94,5,B,confirmed
47,94.11,2,B,confirmed
48,36.04,1,A,confirmed
49,75.35,2,C,confirmed
50,75.78,6,B,confirmed
51,29.94,8,C,confirmed
52,91.29,3,A,confirmed
53,54.21,5,A,confirmed
54,71.1,2,B,confirmed
55,23.13,8,A,confirmed
56,33.2,4,B,confirmed
57,62.75,6,C,confirmed
58,38.71,3,C,confirmed
59,54.97,8,B,confirmed
60,43.66,8,B,confirmed
61,67.65,3,B,confirmed
62,53.84,9,C,confirmed
63,10.41,5,C,confirmed
64,68.47,9,A,confirmed
65,47.99,7,A,confirmed
66,40.75,3,C,confirmed
67,18.47,6,C,confirmed
68,29.83,2,B,confirmed
69,30.14,6,C,confirmed
70,94.18,5,C,confirmed
71,48.93,3,A,confirmed
72,13.79,7,A,confirmed
73,22.49,4,B,confirmed
74,17.11,6,A,confirmed
75,63.0,9,B,confirmed
76,26.8,6,C,confirmed
77,54.87,4,C,confirmed
78,43.31,2,B,confirmed
79,82.35,9,A,confirmed
80,38.84,4,A,confirmed
81,51.24,4,C,confirmed
82,74.92,2,A,confirmed
83,49.0,5,B,confirmed
84,81.39,6,C,confirmed
85,69.55,6,A,confirmed
86,46.95,3,C,confirmed
87,55.36,9,C,confirmed
88,97.05,7,A,confirmed
89,69.55,3,B,confirmed
90,91.45,4,A,confirmed
91,26.09,7,A,confirmed
92,53.49,8,A,confirmed
93,91.78,6,A,confirmed
94,39.04,4,A,confirmed
95,97.09,2,A,confirmed
96,18.74,8,B,confirmed
97,91.24,1,C,confirmed
98,50.07,9,B,confirmed
99,16.64,8,A,confirmed
100,89.16,3,B,confirmed
101,32.67,4,C,confirmed
102,12.0,4,B,confirmed
103,22.22,2,A,confirmed
104,69.32,5,C,confirmed
105,98.0,3,A,confirmed
106,20.03,1,A,confirmed
107,51.58,2,C,confirmed
108,26.26,7,C,confirmed
109,77.05,1,A,confirmed
110,20.63,2,B,confirmed
111,31.59,7,C,confirmed
112,27.68,1,B,confirmed
113,59.73,7,B,confirmed
114,88.59,8,C,confirmed
115,56.0,2,B,confirmed
116,15.24,4,C,confirmed
117,60.71,7,C,confirmed
118,81.78,1,C,confirmed
119,21.89,6,C,confirmed
120,16.54,5,B,confirmed
121,26.9,6,B,confirmed
122,77.15,8,C,confirmed
123,63.25,1,C,confirmed
124,58.65,3,C,confirmed
125,32.45,9,C,confirmed
126,39.9,8,A,confirmed
127,96.93,4,B,confirmed
128,31.66,9,B,confirmed
129,91.15,7,C,confirmed
130,62.25,2,A,confirmed
131,21.1,1,A,confirmed
132,52.06,1,A,confirmed
133,95.37,3,C,confirmed
134,47.67,2,A,confirmed
135,87.7,4,C,confirmed
136,33.08,8,A,confirmed
137,61.38,5,C,confirmed
138,85.95,5,C,confirmed
139,92.86,6,B,confirmed
140,53.72,5,C,confirmed
141,67.57,5,A,confirmed
142,10.27,7,B,confirmed
143,32.79,6,A,confirmed
