transaction_id,price,quantity,category,status,date
0,52.2,4,C,confirmed,2024-01-01
1,71.62,2,C,confirmed,2024-01-02
2,92.57,3,A,confirmed,2024-01-03
3,46.76,8,A,confirmed,2024-01-04
4,30.97,9,A,confirmed,2024-01-05
5,88.04,6,B,confirmed,2024-01-06
6,24.55,4,C,confirmed,2024-01-07
7,66.83,2,A,confirmed,2024-01-08
8,93.09,7,B,confirmed,2024-01-09
9,70.7,7,C,confirmed,2024-01-10
10,27.61,9,B,confirmed,2024-01-11
11,23.71,5,C,confirmed,2024-01-12
12,32.71,4,A,confirmed,2024-01-13
13,45.23,6,B,confirmed,2024-01-14
14,24.32,2,B,confirmed,2024-01-15
15,81.8,2,B,confirmed,2024-01-16
16,42.13,9,C,confirmed,2024-01-17
17,94.25,7,C,confirmed,2024-01-18
18,85.82,7,B,confirmed,2024-01-19
19,91.79,5,C,confirmed,2024-01-20
20,36.5,7,B,confirmed,2024-01-21
21,61.64,9,A,confirmed,2024-01-22
22,38.93,5,B,confirmed,2024-01-23
23,33.13,9,B,confirmed,2024-01-24
24,64.64,1,C,confirmed,2024-01-25
25,83.62,3,C,confirmed,2024-01-26
26,18.42,7,C,confirmed,2024-01-27
27,34.82,4,A,confirmed,2024-01-28
28,28.46,2,A,confirmed,2024-01-29
29,81.85,3,A,confirmed,2024-01-30
30,94.0,7,C,confirmed,2024-01-31
31,17.19,8,B,confirmed,2024-02-01
32,44.13,9,B,confirmed,2024-02-02
33,92.31,6,B,confirmed,2024-02-03
34,41.02,9,C,confirmed,2024-02-04
35,74.14,4,C,confirmed,2024-02-05
36,19.06,5,A,confirmed,2024-02-06
37,49.99,1,C,confirmed,2024-02-07
38,55.3,9,B,confirmed,2024-02-08
39,78.19,9,A,confirmed,2024-02-09
40,35.99,9,A,confirmed,2024-02-10
41,33.78,3,C,confirmed,2024-02-11
42,37.27,8,A,confirmed,2024-02-12
43,60.01,3,A,confirmed,2024-02-13
44,88.84,6,C,confirmed,2024-02-14
45,84.78,5,A,confirmed,2024-02-15
46,15.22,8,B,confirmed,2024-02-16
47,89.11,3,C,confirmed,2024-02-17
48,18.56,1,B,confirmed,2024-02-18
49,47.38,9,B,confirmed,2024-02-19
50,78.89,9,B,confirmed,2024-02-20
51,17.34,3,B,confirmed,2024-02-21
52,13.64,2,A,confirmed,2024-02-22
53,39.7,4,A,confirmed,2024-02-23
54,75.69,8,C,confirmed,2024-02-24
55,56.96,6,C,confirmed,2024-02-25
56,47.53,1,B,confirmed,2024-02-26
57,83.18,8,B,confirmed,2024-02-27
58,79.0,5,C,confirmed,2024-02-28
59,80.74,6,C,confirmed,2024-02-29
60,51.38,5,C,confirmed,2024-03-01
61,11.75,5,C,confirmed,2024-03-02
62,25.49,3,B,confirmed,2024-03-03
63,76.72,4,C,confirmed,2024-03-04
64,77.79,5,A,confirmed,2024-03-05
65,97.51,2,B,confirmed,2024-03-06
66,27.12,6,A,confirmed,2024-03-07
67,21.06,2,C,confirmed,2024-03-08
68,22.49,4,A,confirmed,2024-03-09
69,26.63,1,C,confirmed,2024-03-10
70,57.56,4,A,confirmed,2024-03-11
71,97.77,7,B,confirmed,2024-03-12
72,63.05,8,A,confirmed,2024-03-13
73,57.04,2,B,confirmed,2024-03-14
74,70.6,3,A,confirmed,2024-03-15
75,16.65,1,A,confirmed,2024-03-16
76,83.38,7,B,confirmed,2024-03-17
77,68.22,4,B,confirmed,2024-03-18
78,25.41,8,C,confirmed,2024-03-19
79,66.76,5,B,confirmed,2024-03-20
80,63.66,9,B,confirmed,2024-03-21
81,15.84,6,C,confirmed,2024-03-22
82,34.02,2,B,confirmed,2024-03-23
83,45.18,1,B,confirmed,2024-03-24
84,32.04,1,A,confirmed,2024-03-25
85,31.88,9,C,confirmed,2024-03-26
86,61.57,1,C,confirmed,2024-03-27
87,52.38,3,A,confirmed,2024-03-28
88,70.06,2,C,confirmed,2024-03-29
89,96.08,4,A,confirmed,2024-03-30
90,69.45,1,B,confirmed,2024-03-31
91,62.39,1,C,confirmed,2024-04-01
92,86.28,4,B,confirmed,2024-04-02
93,66.89,4,C,confirmed,2024-04-03
94,24.9,7,B,confirmed,2024-04-04
95,38.33,8,C,confirmed,2024-04-05
96,76.0,8,C,confirmed,2024-04-06
97,76.45,8,B,confirmed,2024-04-07
98,98.83,9,A,confirmed,2024-04-08
99,66.43,1,C,confirmed,2024-04-09
100,90.96,9,A,confirmed,2024-04-10
101,14.91,8,A,confirmed,2024-04-11
102,60.96,1,A,confirmed,2024-04-12
103,92.79,7,A,confirmed,2024-04-13
104,35.85,9,A,confirmed,2024-04-14
105,23.94,4,A,confirmed,2024-04-15
106,41.55,9,C,confirmed,2024-04-16
107,81.3,1,A,confirmed,2024-04-17
108,17.62,9,C,confirmed,2024-04-18
109,64.03,6,C,confirmed,2024-04-19
110,22.21,4,C,confirmed,2024-04-20
111,49.2,5,B,confirmed,2024-04-21
112,96.94,7,A,confirmed,2024-04-22
113,27.56,4,B,confirmed,2024-04-23
114,13.06,8,A,confirmed,2024-04-24
115,48.45,3,B,confirmed,2024-04-25
116,61.99,2,C,confirmed,2024-04-26
117,36.78,1,B,confirmed,2024-04-27
118,58.76,6,C,confirmed,2024-04-28
119,95.81,2,B,confirmed,2024-04-29
120,38.06,8,A,confirmed,2024-04-30
121,37.85,4,A,confirmed,2024-05-01
122,53.45,9,B,confirmed,2024-05-02
123,56.38,4,B,confirmed,2024-05-03
124,10.12,4,A,confirmed,2024-05-04
125,65.43,8,B,confirmed,2024-05-05
126,99.76,8,B,confirmed,2024-05-06
127,36.28,5,A,confirmed,2024-05-07
128,66.77,3,C,confirmed,2024-05-08
129,10.42,2,A,confirmed,2024-05-09
130,64.39,9,A,confirmed,2024-05-10
131,50.24,9,B,confirmed,2024-05-11
132,57.73,5,A,confirmed,2024-05-12
133,58.95,8,A,confirmed,2024-05-13
134,25.93,7,B,confirmed,2024-05-14
135,79.3,3,B,confirmed,2024-05-15
136,59.99,5,C,confirmed,2024-05-16
137,34.32,9,A,confirmed,2024-05-17
138,94.36,4,C,confirmed,2024-05-18
139,11.15,3,C,confirmed,2024-05-19
140,75.33,7,C,confirmed,2024-05-20
141,44.31,8,C,confirmed,2024-05-21
142,57.03,5,A,confirmed,2024-05-22
143,36.24,8,A,confirmed,2024-05-23
144,38.91,5,A,confirmed,2024-05-24
145,11.36,9,C,confirmed,2024-05-25
146,75.69,7,B,confirmed,2024-05-26
147,73.97,5,A,confirmed,2024-05-27
148,68.89,9,C,confirmed,2024-05-28
149,89.02,5,C,confirmed,2024-05-29
150,91.11,8,C,confirmed,2024-05-30
151,60.08,4,C,confirmed,2024-05-31
152,71.63,9,C,confirmed,2024-06-01
153,10.99,6,C,confirmed,2024-06-02
154,86.17,6,A,confirmed,2024-06-03
155,83.48,3,B,confirmed,2024-06-04
156,11.82,3,A,confirmed,2024-06-05
157,58.85,4,A,confirmed,2024-06-06
158,91.6,1,C,confirmed,2024-06-07
159,26.32,6,A,confirmed,2024-06-08
160,41.74,1,B,confirmed,2024-06-09
161,39.79,4,B,confirmed,2024-06-10
162,42.03,7,C,confirmed,2024-06-11
163,13.77,6,B,confirmed,2024-06-12
164,35.11,8,C,confirmed,2024-06-13
165,36.54,4,B,confirmed,2024-06-14
166,87.93,9,B,confirmed,2024-06-15
167,41.69,8,A,confirmed,2024-06-16
168,50.25,5,B,confirmed,2024-06-17
169,44.27,6,C,confirmed,2024-06-18
170,20.86,5,B,confirmed,2024-06-19
171,99.13,6,B,confirmed,2024-06-20
172,84.32,1,A,confirmed,2024-06-21
173,58.68,4,C,confirmed,2024-06-22
174,52.87,9,C,confirmed,2024-06-23
175,68.43,4,C,confirmed,2024-06-24
176,39.38,2,A,confirmed,2024-06-25
177,14.53,6,B,confirmed,2024-06-26
178,46.39,2,C,confirmed,2024-06-27
179,98.56,3,B,confirmed,2024-06-28
180,26.41,7,B,confirmed,2024-06-29
181,57.49,4,B,confirmed,2024-06-30
182,10.77,1,A,confirmed,2024-07-01
183,20.98,9,B,confirmed,2024-07-02
184,62.85,6,A,confirmed,2024-07-03
185,36.77,9,A,confirmed,2024-07-04
186,91.51,3,A,confirmed,2024-07-05
187,46.56,5,C,confirmed,2024-07-06
188,28.72,9,A,confirmed,2024-07-07
189,59.1,6,C,confirmed,2024-07-08
190,81.55,2,A,confirmed,2024-07-09
191,11.75,1,A,confirmed,2024-07-10
192,55.5,9,A,confirmed,2024-07-11
193,79.61,1,A,confirmed,2024-07-12
194,19.32,5,B,confirmed,2024-07-13
195,91.25,1,B,confirmed,2024-07-14
196,33.81,5,A,confirmed,2024-07-15
197,25.35,5,B,confirmed,2024-07-16
198,63.03,7,C,confirmed,2024-07-17
199,25.75,7,B,confirmed,2024-07-18
200,71.17,1,B,confirmed,2024-07-19
201,54.11,9,B,confirmed,2024-07-20
202,19.9,1,A,confirmed,2024-07-21
203,92.12,5,C,confirmed,2024-07-22
204,70.59,7,A,confirmed,2024-07-23
205,59.14,8,C,confirmed,2024-07-24
206,43.69,2,A,confirmed,2024-07-25
207,22.14,1,B,confirmed,2024-07-26
208,73.68,4,C,confirmed,2024-07-27
209,83.23,4,B,confirmed,2024-07-28
210,21.32,6,C,confirmed,2024-07-29
211,54.51,1,C,confirmed,2024-07-30
212,53.64,1,A,confirmed,2024-07-31
213,41.49,3,A,confirmed,2024-08-01
214,81.04,5,B,confirmed,2024-08-02
215,18.96,6,B,confirmed,2024-08-03
216,28.45,5,C,confirmed,2024-08-04
217,10.14,5,C,confirmed,2024-08-05
218,43.57,9,A,confirmed,2024-08-06
219,36.21,2,A,confirmed,2024-08-07
220,88.03,1,A,confirmed,2024-08-08
221,77.12,6,A,confirmed,2024-08-09
222,17.6,9,A,confirmed,2024-08-10
223,76.69,7,C,confirmed,2024-08-11
224,70.79,8,C,confirmed,2024-08-12
225,35.36,5,B,confirmed,2024-08-13
226,11.39,4,C,confirmed,2024-08-14
227,20.36,6,A,confirmed,2024-08-15
228,32.49,3,C,confirmed,2024-08-16
229,83.5,1,C,confirmed,2024-08-17
230,51.88,4,C,confirmed,2024-08-18
231,92.66,9,B,confirmed,2024-08-19
232,81.02,4,B,confirmed,2024-08-20
233,35.84,1,C,confirmed,2024-08-21
234,86.08,4,C,confirmed,2024-08-22
235,20.51,7,A,confirmed,2024-08-23
236,13.25,3,B,confirmed,2024-08-24
237,64.77,6,A,confirmed,2024-08-25
238,40.76,1,A,confirmed,2024-08-26
239,39.65,4,C,confirmed,2024-08-27
240,71.85,3,C,confirmed,2024-08-28
241,86.51,1,C,confirmed,2024-08-29
242,39.0,3,A,confirmed,2024-08-30
243,39.25,4,A,confirmed,2024-08-31
244,58.05,5,A,confirmed,2024-09-01
245,68.79,6,C,confirmed,2024-09-02
246,28.26,2,C,confirmed,2024-09-03
247,92.14,2,C,confirmed,2024-09-04
248,68.9,6,A,confirmed,2024-09-05
249,66.26,5,A,confirmed,2024-09-06
250,91.38,1,B,confirmed,2024-09-07
251,91.65,3,C,confirmed,2024-09-08
252,22.2,5,A,confirmed,2024-09-09
253,23.06,2,B,confirmed,2024-09-10
254,78.58,1,A,confirmed,2024-09-11
255,96.12,9,A,confirmed,2024-09-12
256,69.99,5,C,confirmed,2024-09-13
257,47.02,2,B,confirmed,2024-09-14
258,71.51,4,A,confirmed,2024-09-15
259,30.59,3,B,confirmed,2024-09-16
260,99.82,7,B,confirmed,2024-09-17
261,48.8,1,C,confirmed,2024-09-18
262,93.85,4,B,confirmed,2024-09-19
263,48.77,7,C,confirmed,2024-09-20
264,93.53,5,C,confirmed,2024-09-21
265,40.21,4,C,confirmed,2024-09-22
266,78.45,4,B,confirmed,2024-09-23
267,95.59,2,A,confirmed,2024-09-24
268,68.14,8,C,confirmed,2024-09-25
269,70.98,4,A,confirmed,2024-09-26
270,19.26,2,B,confirmed,2024-09-27
271,52.68,9,A,confirmed,2024-09-28
272,89.81,7,A,confirmed,2024-09-29
273,31.68,3,C,confirmed,2024-09-30
274,80.95,7,C,confirmed,2024-10-01
275,70.81,1,C,confirmed,2024-10-02
276,30.07,1,B,confirmed,2024-10-03
277,35.45,4,A,confirmed,2024-10-04
278,48.48,4,B,confirmed,2024-10-05
279,21.26,4,B,confirmed,2024-10-06
280,92.2,9,B,confirmed,2024-10-07
281,76.54,6,B,confirmed,2024-10-08
282,42.85,3,C,confirmed,2024-10-09
283,36.97,6,A,confirmed,2024-10-10
284,72.06,2,C,confirmed,2024-10-11
285,48.18,2,C,confirmed,2024-10-12
286,30.64,7,B,confirmed,2024-10-13
287,48.71,3,C,confirmed,2024-10-14
288,88.42,7,A,confirmed,2024-10-15
289,16.17,3,B,confirmed,2024-10-16
290,43.15,2,C,confirmed,2024-10-17
291,96.61,4,B,confirmed,2024-10-18
292,11.33,4,A,confirmed,2024-10-19
293,90.16,3,B,confirmed,2024-10-20
294,43.74,9,C,confirmed,2024-10-21
295,27.06,6,C,confirmed,2024-10-22
296,11.35,5,A,confirmed,2024-10-23
297,16.35,6,A,confirmed,2024-10-24
298,25.47,8,B,confirmed,2024-10-25
299,12.29,5,C,confirmed,2024-10-26
300,40.23,4,A,confirmed,2024-10-27
301,14.04,7,A,confirmed,2024-10-28
302,72.3,5,C,confirmed,2024-10-29
303,83.7,4,A,confirmed,2024-10-30
304,89.87,5,A,confirmed,2024-10-31
305,59.42,4,C,confirmed,2024-11-01
306,95.19,8,A,confirmed,2024-11-02
307,10.51,8,C,confirmed,2024-11-03
308,22.06,1,C,confirmed,2024-11-04
309,36.38,3,B,confirmed,2024-11-05
310,81.01,4,C,confirmed,2024-11-06
311,89.69,2,A,confirmed,2024-11-07
312,65.63,5,B,confirmed,2024-11-08
313,44.49,8,B,confirmed,2024-11-09
314,69.93,2,A,confirmed,2024-11-10
315,26.28,9,B,confirmed,2024-11-11
316,51.21,7,A,confirmed,2024-11-12
317,55.68,6,B,confirmed,2024-11-13
318,19.44,8,A,confirmed,2024-11-14
319,13.05,2,C,confirmed,2024-11-15
320,77.51,5,C,confirmed,2024-11-16
321,58.12,4,B,confirmed,2024-11-17
322,39.9,8,B,confirmed,2024-11-18
323,49.35,1,C,confirmed,2024-11-19
324,96.19,3,A,confirmed,2024-11-20
325,44.64,8,B,confirmed,2024-11-21
326,19.31,5,C,confirmed,2024-11-22
327,51.72,4,B,confirmed,2024-11-23
328,68.32,6,C,confirmed,2024-11-24
329,11.09,5,C,confirmed,2024-11-25
330,39.91,3,C,confirmed,2024-11-26
331,45.42,5,A,confirmed,2024-11-27
332,51.73,4,B,confirmed,2024-11-28
333,37.15,1,A,confirmed,2024-11-29
334,70.02,1,A,confirmed,2024-11-30
335,95.02,7,C,confirmed,2024-12-01
336,92.26,4,A,confirmed,2024-12-02
337,69.8,1,B,confirmed,2024-12-03
338,55.62,6,B,confirmed,2024-12-04
339,84.32,1,C,confirmed,2024-12-05
340,85.23,8,C,confirmed,2024-12-06
341,84.66,9,B,confirmed,2024-12-07
342,24.21,3,B,confirmed,2024-12-08
343,12.29,7,C,confirmed,2024-12-09
344,98.49,5,A,confirmed,2024-12-10
345,96.37,3,B,confirmed,2024-12-11
346,60.79,5,C,confirmed,2024-12-12
347,99.38,7,C,confirmed,2024-12-13
348,79.35,7,B,confirmed,2024-12-14
349,56.56,9,C,confirmed,2024-12-15
350,45.04,8,B,confirmed,2024-12-16
351,63.36,4,C,confirmed,2024-12-17
352,56.42,5,C,confirmed,2024-12-18
353,99.44,5,A,confirmed,2024-12-19
354,54.14,2,C,confirmed,2024-12-20
355,85.23,7,B,confirmed,2024-12-21
356,83.23,7,B,confirmed,2024-12-22
357,16.43,9,A,confirmed,2024-12-23
358,17.83,9,B,confirmed,2024-12-24
359,69.38,4,C,confirmed,2024-12-25
360,33.32,5,A,confirmed,2024-12-26
361,69.18,7,B,confirmed,2024-12-27
362,23.02,7,C,confirmed,2024-12-28
363,45.74,8,A,confirmed,2024-12-29
364,19.22,8,C,confirmed,2024-12-30
365,35.39,2,B,confirmed,2024-12-31
366,17.95,9,B,confirmed,2025-01-01
367,97.35,4,B,confirmed,2025-01-02
368,45.56,1,B,confirmed,2025-01-03
369,91.11,1,A,confirmed,2025-01-04
370,97.41,5,B,confirmed,2025-01-05
371,91.86,7,A,confirmed,2025-01-06
372,50.95,5,A,confirmed,2025-01-07
373,80.1,3,C,confirmed,2025-01-08
374,23.83,7,B,confirmed,2025-01-09
375,18.53,1,C,confirmed,2025-01-10
376,88.92,1,C,confirmed,2025-01-11
377,12.8,2,C,confirmed,2025-01-12
378,97.51,1,C,confirmed,2025-01-13
379,70.49,9,C,confirmed,2025-01-14
380,47.77,4,B,confirmed,2025-01-15
381,22.72,7,C,confirmed,2025-01-16
382,75.09,5,A,confirmed,2025-01-17
383,60.68,7,A,confirmed,2025-01-18
384,74.0,7,B,confirmed,2025-01-19
385,47.61,1,A,confirmed,2025-01-20
386,15.96,1,C,confirmed,2025-01-21
387,38.35,3,A,confirmed,2025-01-22
388,38.35,2,C,confirmed,2025-01-23
389,10.78,7,B,confirmed,2025-01-24
390,10.86,3,A,confirmed,2025-01-25
391,39.77,7,A,confirmed,2025-01-26
392,75.49,9,A,confirmed,2025-01-27
393,66.16,1,B,confirmed,2025-01-28
394,31.51,3,B,confirmed,2025-01-29
